protein_accession	genome	compartment	KO	evalue	bitscore	bitscore_threshold	query_start	query_end	target_start	target_end	prot_len	leader_len	met_start	has_leader	KO_name
CAK9106739.1	GCA_963970005.1	plastid	K02716	1.50E-89	301.3	105.33	50	318	55	323	320	49	True	True	psbO; photosystem II oxygen-evolving enhancer protein 1
CAK9114539.1	GCA_963970005.1	plastid	K02716	1.90E-94	317.5	105.33	50	329	55	334	331	49	True	True	psbO; photosystem II oxygen-evolving enhancer protein 1
OLP82331.1	GCA_001939145.1	secreted	K01176	1.50E-114	384.6	239.4	2449	2918	94	510	2931	2448	True	True	AMY, amyA, malS; alpha-amylase [EC:3.2.1.1]
OLP88390.1	GCA_001939145.1	secreted	K01379	1.10E-131	440.9	551.07	279	752	53	432	1912	278	True	True	CTSD; cathepsin D [EC:3.4.23.5]
OLP90217.1	GCA_001939145.1	secreted	K01176	1.80E-66	225.7	239.4	1193	1669	93	460	3696	1192	True	True	AMY, amyA, malS; alpha-amylase [EC:3.2.1.1]
OLP90340.1	GCA_001939145.1	secreted	K01275	7.30E-125	418.6	270.97	2159	2664	89	535	2680	2158	True	True	CTSC; cathepsin C [EC:3.4.14.1]
OLQ01547.1	GCA_001939145.1	secreted	K01176	3.20E-57	195.2	239.4	553	1340	113	548	1397	552	True	True	AMY, amyA, malS; alpha-amylase [EC:3.2.1.1]
CAE7202391.1	GCA_905221605.1	secreted	K01176	2.30E-83	281.6	239.4	919	1367	93	460	1408	918	True	True	AMY, amyA, malS; alpha-amylase [EC:3.2.1.1]
CAE7248497.1	GCA_905221605.1	secreted	K01275	2.80E-137	459.6	270.97	7	497	91	536	509	6	True	False	CTSC; cathepsin C [EC:3.4.14.1]
CAE7347352.1	GCA_905221605.1	secreted	K01363	2.10E-57	195.9	231.2	29	411	64	426	451	28	True	True	CTSB; cathepsin B [EC:3.4.22.1]
CAE7404224.1	GCA_905221605.1	secreted	K01674	1.40E-62	212.7	242.67	51	307	48	299	318	50	True	True	cah; carbonic anhydrase [EC:4.2.1.1]
CAE7243306.1	GCA_905231915.1	secreted	K01176	2.00E-57	195.8	239.4	341	920	94	471	1058	340	True	True	AMY, amyA, malS; alpha-amylase [EC:3.2.1.1]
CAE7353421.1	GCA_905231915.1	secreted	K01275	1.80E-125	420.6	270.97	12	512	92	533	515	11	True	False	CTSC; cathepsin C [EC:3.4.14.1]
CAE7888340.1	GCA_905231915.1	secreted	K01366	7.80E-99	332.0	405.27	23	331	80	387	366	22	True	True	CTSH; cathepsin H [EC:3.4.22.16]
CAE8637643.1	GCA_905237085.1	secreted	K01275	8.80E-131	438.1	270.97	17	514	88	535	526	16	True	True	CTSC; cathepsin C [EC:3.4.14.1]
CAL1133328.1	GCA_947184155.2	secreted	K08568	6.30E-93	312.6	252.93	813	1135	72	356	1485	812	True	True	CTSZ; cathepsin X [EC:3.4.18.1]
CAL1138639.1	GCA_947184155.2	secreted	K01275	9.60E-102	342.3	270.97	105	581	84	488	673	104	True	True	CTSC; cathepsin C [EC:3.4.14.1]
CAL1141511.1	GCA_947184155.2	secreted	K01363	4.20E-54	185.0	231.2	49	470	35	382	1133	48	True	True	CTSB; cathepsin B [EC:3.4.22.1]
CAL1168714.1	GCA_947184155.2	secreted	K01176	2.50E-67	228.6	239.4	287	1048	93	514	1677	286	True	True	AMY, amyA, malS; alpha-amylase [EC:3.2.1.1]
CAK9048154.1	GCA_963969995.1	secreted	K01275	5.90E-130	435.4	270.97	4	522	91	550	550	3	True	False	CTSC; cathepsin C [EC:3.4.14.1]
CAK9064928.1	GCA_963969995.1	secreted	K01363	1.40E-59	203.1	231.2	95	642	71	471	743	94	True	True	CTSB; cathepsin B [EC:3.4.22.1]
CAK9108861.1	GCA_963969995.1	secreted	K01275	3.20E-125	419.8	270.97	5	485	92	533	502	4	True	False	CTSC; cathepsin C [EC:3.4.14.1]
CAK9017681.1	GCA_963970005.1	secreted	K01176	1.50E-67	229.3	239.4	166	532	44	384	600	165	True	True	AMY, amyA, malS; alpha-amylase [EC:3.2.1.1]
CAK9047979.1	GCA_963970005.1	secreted	K01275	5.90E-130	435.4	270.97	4	522	91	550	550	3	True	False	CTSC; cathepsin C [EC:3.4.14.1]
CAK9058847.1	GCA_963970005.1	secreted	K01673	2.00E-08	33.9	18.5	72	395	52	280	547	71	True	True	cynT, can; carbonic anhydrase [EC:4.2.1.1]
CAK9059015.1	GCA_963970005.1	secreted	K01673	1.90E-08	34.0	18.5	72	395	52	280	547	71	True	True	cynT, can; carbonic anhydrase [EC:4.2.1.1]
CAK9066807.1	GCA_963970005.1	secreted	K01176	7.30E-106	355.9	239.4	332	854	96	513	889	331	True	True	AMY, amyA, malS; alpha-amylase [EC:3.2.1.1]
CAK9078368.1	GCA_963970005.1	secreted	K01365	3.50E-123	412.6	514.47	21	373	79	427	379	20	True	True	CTSL; cathepsin L [EC:3.4.22.15]
CAK9113803.1	GCA_963970005.1	secreted	K01275	2.30E-125	420.2	270.97	5	486	92	534	506	4	True	False	CTSC; cathepsin C [EC:3.4.14.1]
CAK9113887.1	GCA_963970005.1	secreted	K01363	2.10E-59	202.5	231.2	104	669	71	470	771	103	True	True	CTSB; cathepsin B [EC:3.4.22.1]
